company_name,company_symbol,date_uploaded,report_text,quarter,year,pdf_url
Unknown Company (REXP),REXP,13 Aug 201809:30 AM,Quarterly Financial Report as of 30/06/2018,Q2,2018,https://cdn.cse.lk/cmt/upload_report_file/771_1534241780359.pdf
Unknown Company (REXP),REXP,30 May 201809:30 AM,Interim Financial Statements as at 31.03.2018,,,https://cdn.cse.lk/cmt/upload_report_file/771_1527766286271.pdf
Unknown Company (REXP),REXP,11 Feb 201808:30 AM,Interim Financial Statements as of 31-12-2017,Q4,2017,https://cdn.cse.lk/cmt/upload_report_file/771_1518428508196.pdf
Unknown Company (REXP),REXP,12 Nov 201708:30 AM,Quarterly Financial Report as of 30/09/2017,Q3,2017,https://cdn.cse.lk/cmt/upload_report_file/771_1510568122040.pdf
Unknown Company (REXP),REXP,09 Aug 201709:30 AM,Quarterly Financial Report as of 30/06/2017,Q2,2017,https://cdn.cse.lk/cmt/upload_report_file/771_1502358762590.pdf
Unknown Company (REXP),REXP,29 May 201709:30 AM,Interim Financial Statements as of 31-03-2017,Q1,2017,https://cdn.cse.lk/cmt/upload_report_file/771_1496144616.pdf
Unknown Company (REXP),REXP,13 Feb 201708:30 AM,Interim Financial Statements as of 31-12-2016,Q4,2016,https://cdn.cse.lk/cmt/upload_report_file/771_1487065755.pdf
Unknown Company (REXP),REXP,09 Nov 201608:30 AM,Interim Financial Statements as at 30-09-2016,Q3,2016,https://cdn.cse.lk/cmt/upload_report_file/771_1478771451751.pdf
Unknown Company (REXP),REXP,11 Aug 201609:30 AM,Quarterly Financial Report as of 30/06/2016,Q2,2016,https://cdn.cse.lk/cmt/upload_report_file/771_1470995967550.pdf
Unknown Company (REXP),REXP,26 May 201609:30 AM,Quarterly Financial Report as of 31/03/2016,Q1,2016,https://cdn.cse.lk/cmt/upload_report_file/771_1464349470713.pdf
Unknown Company (REXP),REXP,11 Feb 201608:30 AM,Quarterly Financial Report as of 31/12/2015,Q4,2015,https://cdn.cse.lk/cmt/upload_report_file/771_1455275141037.pdf
Unknown Company (REXP),REXP,10 Nov 201508:30 AM,Interim Financial Statements as at 30-09-2015,Q3,2015,https://cdn.cse.lk/cmt/upload_report_file/771_1447235343844.pdf
Unknown Company (REXP),REXP,13 Aug 201509:30 AM,Quarterly Financial Report as of 30/06/2015,Q2,2015,https://cdn.cse.lk/cmt/upload_report_file/771_1439544745043.pdf
Unknown Company (REXP),REXP,28 May 201509:30 AM,Quarterly Financial Report as of 31/03/2015,Q1,2015,https://cdn.cse.lk/cmt/upload_report_file/771_1432893944370.pdf
Unknown Company (REXP),REXP,12 Feb 201508:30 AM,Quarterly Financial Report as of 31/12/2014,Q4,2014,https://cdn.cse.lk/cmt/upload_report_file/771_1423820579922.pdf
Unknown Company (REXP),REXP,12 Nov 201408:30 AM,Interim Financial Statements as at 30-09-2014,Q3,2014,https://cdn.cse.lk/cmt/upload_report_file/771_1415876387806.pdf
Unknown Company (REXP),REXP,12 Aug 201409:30 AM,Quarterly Financial Report as of 30/06/2014,Q2,2014,https://cdn.cse.lk/cmt/upload_report_file/771_1407921977128.pdf
Unknown Company (REXP),REXP,29 May 201409:30 AM,Interim Financial Statements as of 31-03-2014,Q1,2014,https://cdn.cse.lk/cmt/upload_report_file/771_1401444598724.pdf
Unknown Company (REXP),REXP,12 Feb 201408:30 AM,Quarterly Financial Report as of 31/12/2013,Q4,2013,https://cdn.cse.lk/cmt/upload_report_file/771_1392283147784.pdf
Unknown Company (REXP),REXP,12 Nov 201308:30 AM,Interim Financial Statements as of 30-09-2013,Q3,2013,https://cdn.cse.lk/cmt/upload_report_file/771_1384335593557.pdf
Unknown Company (REXP),REXP,13 Aug 201309:30 AM,Quarterly Financial Report as of 30-06-2013,Q2,2013,https://cdn.cse.lk/cmt/upload_report_file/771_1376474098687.pdf
Unknown Company (REXP),REXP,30 May 201309:30 AM,Interim Financial Statements as of 31-03-2013,Q1,2013,https://cdn.cse.lk/cmt/upload_report_file/771_1370005051934.pdf
Unknown Company (REXP),REXP,07 Feb 201308:30 AM,Quarterly Financial Report as of 31-12-2012,Q4,2012,https://cdn.cse.lk/cmt/upload_report_file/771_1360317056247.pdf
Unknown Company (REXP),REXP,13 Nov 201208:30 AM,Quarterly Financial Report as of 30-09-2012,Q3,2012,https://cdn.cse.lk/cmt/upload_report_file/771_1352889712126.pdf
Unknown Company (REXP),REXP,06 Aug 201209:30 AM,Quarterly Financial Report as of 30-06-2012,Q2,2012,https://cdn.cse.lk/cmt/upload_report_file/771_1344331016796.pdf
Unknown Company (REXP),REXP,28 May 201209:30 AM,Quarterly Financial Report 31/03/2012,Q1,2012,https://cdn.cse.lk/cmt/upload_report_file/771_1338284920863.pdf
